PickupDateTime,DropoffDateTime,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
2020-01-01T01:33:10.0000000Z,2020-01-01T02:06:57.0000000Z,1,5,9,No,161,226,25,0
2020-01-01T00:54:28.0000000Z,2020-01-01T00:58:41.0000000Z,1,0,6,No,170,137,4,5,0
2020-01-01T00:57:13.0000000Z,2020-01-01T00:58:05.0000000Z,1,0,11,No,260,260,2,5,0
2020-01-01T00:36:31.0000000Z,2020-01-01T00:37:23.0000000Z,3,0,18,No,141,141,3,0
2020-01-01T00:23:15.0000000Z,2020-01-01T00:23:54.0000000Z,2,0,09,No,114,114,2,5,0
2020-01-01T00:48:19.0000000Z,2020-01-01T01:01:58.0000000Z,1,1,08,No,43,162,9,3,2
2020-01-01T00:13:39.0000000Z,2020-01-01T00:24:26.0000000Z,2,1,26,No,249,90,8,5,0
2020-01-01T04:44:29.0000000Z,2020-01-01T04:44:36.0000000Z,4,0,No,265,265,70,0
2020-01-01T00:44:55.0000000Z,2020-01-01T00:51:10.0000000Z,2,1,85,No,48,238,7,5,0
2020-01-01T00:18:16.0000000Z,2020-01-01T00:18:42.0000000Z,1,0,03,No,164,164,2,5,0
2020-01-01T00:44:29.0000000Z,2020-01-01T00:47:34.0000000Z,2,0,39,No,79,79,4,0
2020-01-01T00:42:44.0000000Z,2020-01-01T00:44:24.0000000Z,1,0,04,No,48,48,3,0
2020-01-01T00:21:30.0000000Z,2020-01-01T00:29:12.0000000Z,2,0,78,No,114,113,6,5,0
2020-01-01T02:05:37.0000000Z,2020-01-01T02:19:43.0000000Z,1,1,9,No,224,68,10,5,2
2020-01-01T00:21:10.0000000Z,2020-01-01T00:22:39.0000000Z,1,0,33,No,146,146,0,0
2020-01-01T00:13:40.0000000Z,2020-01-01T00:31:14.0000000Z,2,2,41,No,246,249,13,0
2020-01-01T00:21:37.0000000Z,2020-01-01T00:27:07.0000000Z,3,0,72,No,68,113,5,5,0
2020-01-01T00:34:49.0000000Z,2020-01-01T00:57:39.0000000Z,2,2,93,No,142,164,16,5,0
2020-01-01T00:48:57.0000000Z,2020-01-01T00:52:37.0000000Z,1,0,2,No,141,141,4,0
2020-01-01T00:38:08.0000000Z,2020-01-01T00:39:21.0000000Z,1,0,09,No,237,237,3,0
2020-01-01T00:26:07.0000000Z,2020-01-01T00:31:29.0000000Z,1,0,91,No,234,114,5,5,0
2020-01-01T00:49:08.0000000Z,2020-01-01T00:52:54.0000000Z,1,0,02,No,164,164,4,0
2020-01-01T00:44:31.0000000Z,2020-01-01T00:45:05.0000000Z,1,0,06,No,68,90,2,5,0
2020-01-01T00:46:56.0000000Z,2020-01-01T00:59:16.0000000Z,1,2,33,No,87,249,10,5,0
2020-01-01T01:35:35.0000000Z,2020-01-01T01:44:55.0000000Z,2,1,49,No,158,211,8,2,95
2020-01-01T00:18:30.0000000Z,2020-01-01T00:21:27.0000000Z,1,0,25,No,107,164,4,0
2020-01-01T00:35:41.0000000Z,2020-01-01T00:46:53.0000000Z,1,1,2,No,249,79,8,5,2,45
2020-01-01T00:41:11.0000000Z,2020-01-01T00:48:14.0000000Z,1,0,3,No,48,48,-6,0
2020-01-01T00:41:11.0000000Z,2020-01-01T00:48:14.0000000Z,1,0,3,No,48,48,6,0
2019-12-31T23:26:25.0000000Z,2019-12-31T23:27:57.0000000Z,2,0,17,No,162,163,3,0
2020-01-01T00:30:31.0000000Z,2020-01-01T00:30:46.0000000Z,1,0,01,No,239,239,2,5,0
2020-01-01T00:18:58.0000000Z,2020-01-01T00:30:53.0000000Z,2,0,81,No,107,234,8,5,0
2020-01-01T00:58:01.0000000Z,2020-01-01T01:02:39.0000000Z,1,0,64,No,170,233,5,0
2020-01-01T00:10:44.0000000Z,2020-01-01T00:18:38.0000000Z,1,2,32,No,140,74,9,0
2020-01-01T00:55:09.0000000Z,2020-01-01T00:59:11.0000000Z,1,0,65,No,148,144,4,5,1,66
2020-01-01T00:10:30.0000000Z,2020-01-01T00:24:14.0000000Z,1,6,96,No,229,196,20,0
2020-01-01T00:28:04.0000000Z,2020-01-01T00:34:33.0000000Z,1,0,81,No,79,113,6,0
